Price Dates,Bhindi (Ladies finger),Tomato,Onion,Potato,Brinjal,Garlic,Peas,Methi,Green Chilli,Elephant Yam (Suran)
27-03-2023,37,16,12,14,25,70,50,8,50,22
28-03-2023,32,16,10,14,25,70,50,10,50,30
29-03-2023,28,16,10,14,25,70,50,10,50,25
30-03-2023,32,16,9,13,25,70,60,10,50,20
31-03-2023,32,16,9,14,25,70,50,10,50,20
02-04-2023,32,16,8,14,25,70,70,10,50,30
03-04-2023,32,16,11,14,25,70,70,10,50,30
04-04-2023,37,16,12,15,25,70,60,12,50,20
05-04-2023,32,16,12,14,25,70,60,12,40,40
06-04-2023,32,16,11,15,25,70,60,10,40,30
07-04-2023,40,16,10,15,25,75,65,12,40,12
09-04-2023,32,16,9,16,25,85,60,12,40,25
10-04-2023,32,16,9,16,25,85,66,12,50,20
11-04-2023,33,16,9,16,25,85,60,12,40,20
12-04-2023,33,16,9,16,25,85,70,12,40,30
13-04-2023,32,16,10,16,25,85,70,12,40,40
14-04-2023,27,16,9,15,20,80,60,14,0.13,40
16-04-2023,32,16,10,16,20,80,65,15,35,20
17-04-2023,31,16,9.5,16,25,85,70,14,50,40
18-04-2023,32,16,9,15,20,85,70,14,50,30
19-04-2023,32,16,9,16,25,85,65,14,35,20
21-04-2023,27,16,9,16,25,85,70,15,40,25
23-04-2023,28,16,9,15,25,90,60,15,30,20
24-04-2023,30,16,9,16,30,85,70,12,30,20
25-04-2023,25,16,8.5,16,20,90,70,15,40,18
26-04-2023,27,16,8,16,20,90,80,16,30,40
27-04-2023,25,16,8,16,25,90,80,15,30,30
28-04-2023,22.5,16,8,16,25,90,80,15,30,25
30-04-2023,20,16,8.5,16,25,90,80,15,30,25
02-05-2023,24,16,10,20,20,90,80,12,40,15
03-05-2023,28.5,16,8.5,20,25,90,70,12,32,25
04-05-2023,28.5,16,11,20,20,90,70,10,30,30
05-05-2023,24.5,16,11,20,20,90,70,8,32,30
07-05-2023,24.5,16,10,20,25,90,70,10,30,15
08-05-2023,22,16,10,20,20,90,70,10,35,30
09-05-2023,20,16,10,20,20,90,60,10,40,30
10-05-2023,20,16,10,20,20,90,60,10,35,25
11-05-2023,22,16,10,20,25,90,60,10,35,15
12-05-2023,25,16,12,20,20,90,60,10,30,25
14-05-2023,20,16,10.5,22,25,90,60,10,30,20
15-05-2023,27,16,10,22,25,90,60,15,30,20
16-05-2023,20,16,10,21,25,90,70,12,30,20
17-05-2023,22,16,10,21,25,95,60,15,45,25
18-05-2023,20,16,11,21,25,95,55,15,50,25
19-05-2023,22,16,12,22,30,95,60,16,50,25
21-05-2023,20,16,10,16,25,95,60,15,40,25
23-05-2023,21,16,11,21,25,95,60,12,50,25
24-05-2023,22,16,10,22,25,95,60,12,40,25
25-05-2023,17.5,16,10,19,25,95,60,12,40,30
26-05-2023,17.5,16,11,21,25,95,60,10,40,30
28-05-2023,17.5,16,12,21,30,95,60,10,40,30
29-05-2023,17.5,16,12,19,30,95,60,10,35,20
30-05-2023,20,16,13,20,30,90,60,10,40,30
31-05-2023,17.5,16,12,20,25,95,60,12,40,25
01-06-2023,17.5,16,12,19,25,95,50,12,40,20
02-06-2023,20,16,12,20,25,95,60,20,40,50
04-06-2023,20,16,12,20,30,95,50,10,50,22
05-06-2023,21,16,13,20,30,95,50,15,50,25
06-06-2023,22,16,13,20,35,95,60,16,60,25
07-06-2023,20,16,14,20,30,95,60,14,45,25
08-06-2023,21,16,14,20,30,95,60,15,50,25
11-06-2023,20,16,15,20,30,95,55,16,50,25
12-06-2023,25,16,13,20,35,95,60,15,50,30
13-06-2023,22,16,15,20,35,95,60,12,50,25
14-06-2023,27.5,16,14,20,35,95,60,15,40,25
15-06-2023,24.5,16,14,20,40,95,60,15,70,25
16-06-2023,24.5,16,13,21,40,95,55,15,65,25
18-06-2023,27,16,14,20,25,95,60,16,50,15
19-06-2023,27,16,14,20,40,95,70,20,60,25
20-06-2023,27,16,14,21,35,95,70,20,60,25
21-06-2023,27,16,14,21,35,95,70,16,50,25
22-06-2023,27,16,14,21,35,95,70,16,50,30
23-06-2023,27,16,14,21,35,95,80,20,60,25
25-06-2023,24.5,16,13,21,35,95,70,16,60,25
26-06-2023,22,16,13,21,35,95,80,18,60,15
27-06-2023,27,16,14,20,30,95,80,16,60,25
28-06-2023,20,16,15,21,35,120,70,15,70,25
29-06-2023,20,16,15,20,30,120,70,16,70,25
30-06-2023,20,16,15,20,30,120,80,20,70,12
02-07-2023,27,16,16,12,30,120,80,22,80,12
03-07-2023,22,16,17,20,30,120,80,22,70,25
04-07-2023,27,16,16,21,30,120,70,20,60,30
05-07-2023,22,16,16,21,35,120,70,20,90,25
06-07-2023,22,16,17,20,35,120,80,25,80,25
07-07-2023,25,16,17,20,30,120,80,20,90,20
09-07-2023,27,16,17,21,30,140,80,20,80,35
11-07-2023,27,16,17,20,30,140,80,2000,80,30
12-07-2023,22.5,16,17,20,35,140,100,18,70,25
13-07-2023,27.5,16,16,20,30,160,110,18,75,30
14-07-2023,20,16,16,20,35,160,120,18,70,40
16-07-2023,20,16,17,20,35,160,100,16,70,25
17-07-2023,20,16,16,17,30,165,80,16,70,40
18-07-2023,25,16,18,14,35,165,150,14,70,30
19-07-2023,27,16,17,20,35,140,120,12,90,30
20-07-2023,25,16,17,20,30,165,110,20,80,30
21-07-2023,20,16,17,20,35,165,120,12,80,30
23-07-2023,27,16,18,20,35,165,120,10,80,35
24-07-2023,27,16,16,21,40,140,120,7,70,50
25-07-2023,25,16,16,21,35,140,120,7,70,25
26-07-2023,27,16,16,21,40,140,130,8,60,30
27-07-2023,27,16,16,21,40,140,130,8,60,40
28-07-2023,30,16,16,21,35,140,120,10,60,30
30-07-2023,30,16,16,21,40,140,150,8,70,40
31-07-2023,30,16,16,21,40,160,120,7,50,35
01-08-2023,32,16,17,21,35,160,100,8,50,32
02-08-2023,35,16,18,21,35,160,100,7,50,40
03-08-2023,25,16,17,21,40,160,150,8,50,30
04-08-2023,27,16,16,21,40,160,120,7,50,30
06-08-2023,30,16,17,20,40,160,120,8,40,40
07-08-2023,25,16,16,21,40,160,130,8,40,40
08-08-2023,27,16,18,21,35,160,120,8,50,30
09-08-2023,27,16,19,20,35,160,100,8,60,40
10-08-2023,27,16,20,20,40,160,80,7,50,35
11-08-2023,22.5,16,21,21,30,160,80,6,40,30
13-08-2023,24,16,22,21,30,160,60,7,40,45
14-08-2023,20,16,21,21,40,160,60,7,40,40
17-08-2023,21,16,27,20,35,160,70,7,40,40
18-08-2023,20,16,25,20,25,160,70,7,40,40
20-08-2023,20,16,25,20,30,160,60,6,35,40
21-08-2023,25,16,25,20,25,160,50,8,40,40
22-08-2023,27,16,22,20,25,160,50,10,45,30
23-08-2023,23.5,16,23,20,30,160,55,10,50,35
24-08-2023,20,16,25,20,20,120,50,10,40,50
25-08-2023,17,16,25,20,25,160,50,12,40,30
27-08-2023,21,16,25,20,25,150,50,10,35,32
28-08-2023,21,16,24,20,25,150,55,16,40,20
29-08-2023,22,16,23,20,25,150,50,12,35,35
30-08-2023,22,16,23,18,25,150,50,16,35,35
31-08-2023,20,16,23,18,20,150,50,12,35,32
01-09-2023,20,16,23,19,20,160,50,12,30,32
03-09-2023,17,16,24,19,20,160,50,12,40,25
04-09-2023,20,16,23,20,20,160,50,10,40,32
06-09-2023,20,16,21,19,25,160,50,16,60,25
07-09-2023,17,16,24,20,16,160,50,12,35,25
08-09-2023,20,16,25,20,16,160,50,13,30,30
10-09-2023,20,16,25,18,20,160,55,12,40,30
11-09-2023,22,16,23,15,20,160,65,15,40,30
12-09-2023,22,16,22,18,20,160,65,15,40,20
13-09-2023,22,16,23,18,25,160,60,15,35,25
14-09-2023,22,16,23,18,25,160,70,15,40,30
15-09-2023,20,16,23,18,25,160,65,16,35,25
17-09-2023,21,16,24,18,25,160,70,17,40,30
18-09-2023,23,16,23,19,30,160,90,20,45,30
19-09-2023,23,16,24,18,20,160,85,20,40,30
20-09-2023,21,16,22,18,25,160,85,25,30,30
21-09-2023,22,16,23,18,25,160,100,22,30,25
22-09-2023,22,16,23,18,25,160,90,25,35,30
24-09-2023,21,16,23,18,25,160,80,22,40,30
25-09-2023,23,16,23,18,25,170,90,20,40,30
26-09-2023,33,16,23,20,30,170,90,16,40,30
27-09-2023,21,16,25,20,35,170,90,20,40,25
28-09-2023,26,16,25,20,35,170,90,18,40,30
01-10-2023,27,16,25,20,30,170,100,25,35,40
02-10-2023,26,16,26,20,30,170,90,20,40,30
03-10-2023,29.5,16,26,20,50,170,100,20,35,30
04-10-2023,32,16,24,18,50,170,110,25,50,30
05-10-2023,37,16,24,20,45,170,110,22,40,30
06-10-2023,37,16,25,20,50,170,130,25,40,30
08-10-2023,40,16,25,20,50,170,120,22,50,50
09-10-2023,35,16,24,20,45,170,140,30,40,30
10-10-2023,32.5,16,25,18,45,170,140,30,50,30
11-10-2023,30,16,26,20,40,170,150,25,40,30
12-10-2023,25,16,27,20,50,170,130,28,50,35
13-10-2023,24.5,16,27,20,40,170,120,25,50,25
15-10-2023,32,16,26,18,40,160,150,35,55,30
16-10-2023,32,16,27,20,50,160,130,35,65,25
17-10-2023,32,16,28,21,40,160,130,30,50,30
18-10-2023,25,16,30,20,50,160,130,28,50,35
19-10-2023,27,16,35,21,50,160,130,28,40,25
20-10-2023,24.5,16,40,20,45,160,140,30,50,25
22-10-2023,27,16,40,21,35,160,130,30,50,40
23-10-2023,21,16,38,20,30,165,120,30,45,30
24-10-2023,20,16,37,18,35,165,120,22,50,25
26-10-2023,24.5,16,38,20,30,165,120,30,40,30
27-10-2023,27,16,45,21,30,165,120,25,50,30
29-10-2023,27,16,57,20,35,165,120,22,40,30
30-10-2023,32,16,55,21,30,165,120,25,40,25
31-10-2023,27,16,54,20,35,165,120,25,40,40
02-11-2023,37,16,54,18,40,165,110,23,45,30
03-11-2023,29.5,16,50,20,30,165,130,20,40,30
06-11-2023,26,16,50,22,25,165,120,20,32,30
07-11-2023,27,16,47,18,25,190,120,10,30,40
08-11-2023,24.5,16,38,18,15,190,130,15,30,30
09-11-2023,22,16,42,20,20,190,120,12,30,30
10-11-2023,22.5,16,50,18,15,190,100,12,35,30
12-11-2023,20,16,50,18,20,190,120,12,40,40
13-11-2023,22,16,47,20,20,190,90,12,40,30
14-11-2023,22,16,45,20,16,190,100,12,50,30
16-11-2023,27.5,16,46,20,25,190,120,15,40,40
17-11-2023,27,16,46,22,30,190,70,12,35,30
19-11-2023,32,16,45,22,25,190,60,10,50,40
20-11-2023,32,16,45,20,30,190,55,8,40,30
21-11-2023,35,16,43,22,30,190,50,9,40,30
22-11-2023,32,16,42,22,20,190,40,9,30,30
23-11-2023,32.5,16,40,20,25,190,42,10,30,40
24-11-2023,30,16,40,20,30,190,40,8,30,40
26-11-2023,32,16,36,22,20,230,40,8,30,40
27-11-2023,32,16,37,18,25,270,35,8,25,25
28-11-2023,30,16,40,18,25,270,35,10,30,30
29-11-2023,32,16,46,18,25,270,32,8,30,25
30-11-2023,30,16,50,22,25,270,40,7,35,30
04-12-2023,37.5,16,47,18,20,270,40,8,30,25
05-12-2023,37,16,46,17,20,270,40,8,25,35
06-12-2023,37,16,47,20,30,290,40,7,30,40
07-12-2023,37,16,48,18,20,270,40,8,35,25
08-12-2023,42.5,16,46,18,40,270,50,10,30,25
10-12-2023,42.5,16,48,18,35,270,50,10,30,25
11-12-2023,60,16,42,22,40,270,40,12,30,25
12-12-2023,50,16,42,22,50,270,40,13,35,40
13-12-2023,50,16,40,18,45,270,40,12,35,40
15-12-2023,47.5,16,38,22,50,270,35,15,30,30
17-12-2023,50,16,36,18,70,270,40,12,40,40
18-12-2023,50,16,30,22,60,270,35,25,35,25
19-12-2023,45,16,30,22,50,270,30,23,50,35
20-12-2023,45,16,26,22,60,270,35,22,30,40
21-12-2023,50,16,28,22,70,270,40,20,30,30
22-12-2023,55,16,30,20,50,270,40,18,35,25
24-12-2023,47.5,16,30,22,60,270,35,18,30,25
25-12-2023,45,16,24,22,70,260,30,18,30,25
26-12-2023,47.5,16,25,22,80,260,30,18,35,25
27-12-2023,45,16,30,20,70,260,40,16,40,25
28-12-2023,45,16,30,20,70,260,30,20,45,25
29-12-2023,45,16,30,22,80,260,30,18,50,25
31-12-2023,45,16,26,20,60,250,40,16,50,40
01-01-2024,45,16,9,18,50,260,40,15,60,25
